1427043797100376068,@raichu,SELLS SHILLS,1643600871408693249
1579923504941654044,@Yahska_Buidls,SKETCHY,1643241622375747587
4107711,@gainzy222,SHILLS SCAMS,1642195529009360903
1610473253029515265,@kava_platform,SCAMS,1510051251957993472
410409666,@LoganPaul,SHILLS SCAMS,1533158858675343363
581301629,@jakepaul,SHILLS SCAMS,1533158858675343363,1532390839191740416
65992743,@lindsaylohan,SHILLS SCAMS,1533158858675343363
368594433,@jayalvarrez,SHILLS SCAMS,1533158858675343363
175198393,@lilyachty,SHILLS SCAMS,1533158858675343363
927909832002277376,@Algorand,BAD OPSEC,1632813771797286917
788759365859835906,@1GunnaGunna,SCAMMER,1491059394637090817
893538712113512449,@Crypto_Ed_NL,SHILLS SCAMS,1639277527997767684
1275260909896769538,@DrProfitCrypto,GRIFTER,1637044168295075840
1319287761048723458,@MarioNawfal,FRAUD,1635454830310309891
1587096980815241216,@MaximAdam_,RUGGER,1532390839191740416
1433138559393964033,@marc_blata,RUGGER,1532390839191740416
95257097,@mikealfred,SCAMMER,1539992604628189185,1635069639184244736
929949485500735488,@bitbns,BAD OPSEC,1630665458134163476
928537621952909313,@retlqw,SCAMMER,1626434265260118021
1458169032260014080,@friendsies_ai,RUG,1628046283435827200
18429921,@friendswithyou,RUG,1628046283435827200
2256822183,@MichaelSuppo,FRAUD,1627794512725647363
1431181921430683648,@BlueZillaVc,SCAMMER,1627247743298043908
854500916044673024,@moneywithcarter,SHILLS SCAMS,1539992600370872320
27115071,@paulpierce34,FRAUD,1481047631627694081
1475596983582789632,@MEE6NFT,RUGGER,1625176253237018627
724434543126667265,@mee6bot,RUG,1625176253237018627
17585653,@dillondanis,SHILLS SCAMS,1606684028563849216,1541416401801564167
1607107973666447361,@proof_christmas,RUG,1618959330174455808
340229362,@alecmonopoly,RUG,1613218576646692864
1485268334786621440,@fashionapenft,RUG,1611393534099079168
1085654384686571520,@DNPthree,SCAMMER,1610384881418391554
3097048039,@jyxdi,FRAUD,1607450197151424512
1506789334338449417,@spiritgates,FRAUD,1607450197151424512
1456536750101237760,@nyukoro,SCAMMER,1573466787336839168
1489568950522302470,@SolChicksNFT,FRAUD,1592627498428567553
1434227176967053317,@CatheonGaming,FRAUD,1592627498428567553
112894741,@han_gate,BAD OPSEC,1592337921922994177
912539725071777792,@gate_io,BAD OPSEC,1592337921922994177
30325257,@thecryptolark,PUMP N DUMP,1575494380072611847
978732571738755072,TheMoonCarl,SCAMMER,1574506790254960641
